Sample	Location	Floor	Type	Indoor.Outdoor	Air.out	Material	Temperature	Humidness	RNA	Notes	DNARNA	SampleName	Date	Month	Building	SampleName2	SampleSite	SampleSite2	SampleSite3	Season	SeasonBymonth	Group
231109_5A	SBb1 SB022 (in front of toilet door)	b1	Corridor	Indoor	no	plastic	21.8	63.7	No		DNA	231109_5A	231109	2311	SB	231109_5A-SBb1 SB022 (in front of toilet door)	5A	2311-5A	11-5A	Autumn	Autumn	Underground
231109_6A	SBb1 SB026	b1	Toilet (Male)	Indoor	yes	plastic	22	64.3	No		DNA	231109_6A	231109	2311	SB	231109_6A-SBb1 SB026	6A	2311-6A	11-6A	Autumn	Autumn	Underground
231109_7A	SBb1 SB022	b1	Toilet (Female)	Indoor	yes	plastic	22.3	64.7	No		DNA	231109_7A	231109	2311	SB	231109_7A-SBb1 SB022	7A	2311-7A	11-7A	Autumn	Autumn	Underground
231109_8A	SBb1 SB034 right side	b1	Corridor	Indoor	no	metal	22.5	64.9	No		DNA	231109_8A	231109	2311	SB	231109_8A-SBb1 SB034 right side	8A	2311-8A	11-8A	Autumn	Autumn	Underground
231109_9A	SBb1 SB038 left side	b1	Corridor	Indoor	no	plastic	22.5	65.2	No		DNA	231109_9A	231109	2311	SB	231109_9A-SBb1 SB038 left side	9A	2311-9A	11-9A	Autumn	Autumn	Underground
231123_10B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	20.4	40.5	No		DNA	231123_10B	231123	2311	SC	231123_10B-SCb1 Parking lot	10B	2311-10B	11-10B	Autumn	Autumn	Underground
231123_11B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	20.3	40.6	No		DNA	231123_11B	231123	2311	SC	231123_11B-SCb1 Parking lot	11B	2311-11B	11-11B	Autumn	Autumn	Underground
231123_12B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	20.6	41	No		DNA	231123_12B	231123	2311	SC	231123_12B-SCb1 Parking lot	12B	2311-12B	11-12B	Autumn	Autumn	Underground
231123_13B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	20.2	40.7	No		DNA	231123_13B	231123	2311	SD	231123_13B-SCb1 Parking lot	13B	2311-13B	11-13B	Autumn	Autumn	Underground
231123_14B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	20.1	41	No		DNA	231123_14B	231123	2311	SD	231123_14B-SCb1 Parking lot	14B	2311-14B	11-14B	Autumn	Autumn	Underground
231123_15B	SCb1 Parking lot	b1	Parking lot	Indoor	no	metal	20	40.8	No		DNA	231123_15B	231123	2311	SD	231123_15B-SCb1 Parking lot	15B	2311-15B	11-15B	Autumn	Autumn	Underground
231123_16B	SD Elevator	Elevator	Elevator	Indoor	no	metal	20.5	42.6	No		DNA	231123_16B	231123	2311	SD	231123_16B-SD Elevator	16B	2311-16B	11-16B	Autumn	Autumn	Elevator
231123_17B	SD254	2	Classroom	Indoor	no	metal	20.9	42.6	No		DNA	231123_17B	231123	2311	SD	231123_17B-SD254	17B	2311-17B	11-17B	Autumn	Autumn	Aboveground
